TitreId,filmoId,typeTitreId,prefixe,titre
377,449,1,L',Opinion publique
378,450,1,,Face to Face
379,450,1,,Face à face
380,450,1,,Von Angesicht zu Angesicht
381,451,1,The,Face
382,451,1,Le,Visage
383,451,1,The,Magician
384,452,1,,De la vie des marionnettes
385,452,1,,From the Life of the Marionettes
386,452,1,,From the Life of Marionnettes
387,453,1,,Djaäulens Öga
388,453,1,L',Oeil du diable
389,453,1,The,Devil's Eye
393,455,1,,Prison
394,455,1,The,Devil's Wanton
395,456,1,,Fanny et Alexandre
396,456,1,,Fanny and Alexander
397,457,1,,Faro 1979
398,457,1,,Farö-dokument
399,457,1,,Faro Document
400,457,1,,Mon île
401,457,1,,"Mon île, Faro"
402,458,1,,Toutes ces femmes
403,458,1,,Toutes ses femmes
404,458,1,,Pour ne pas parler de toutes ses femmes
405,458,1,,All these Women
406,458,1,,Now about these Women
407,458,1,,Not to Speak about All These Women
413,460,1,,Ville de tueurs
414,460,1,,Ville portuaire
415,460,1,,Port of Call
416,461,1,,Sonate d'automne
417,461,1,,Autumn Sonata
418,461,1,,Hutumn Sonata
419,461,1,,Herbstsonat
420,461,1,,Höstsonat
421,461,1,,Hostsonaten
422,461,1,,Hostsomaten
423,461,1,,Hostsomaken
424,462,1,La,Source
425,462,1,La,Fontaine de la jeune vierge
426,462,1,The,Virgin Spring
427,463,1,,Kvinnodrö
428,463,1,,Rêves de femmes
429,463,1,,Dreams
430,463,1,,Journey into Autumn
431,464,1,L',Attente des femmes
432,464,1,,Waiting Women
433,464,1,,Secrets of Women
434,465,1,,Musique dans les ténèbres
435,465,1,,Musique dans le noir
436,465,1,,Night is my Future
437,466,1,,Au seuil de la vie
438,466,1,,So Close to Life
439,466,1,,Brink of Life
440,467,1,Les,Communiants
441,467,1,,Lumière d'hiver
442,467,1,Les,Invités de la communion
443,467,1,,Nattvardsgästerna
444,467,1,,Winter Light
445,467,1,The,Communicants
446,467,1,,Nattvards gästerna
447,467,1,,Natvards gästerna
452,470,1,The,Lie
453,471,1,Le,Rite
454,471,1,The,Ritual
455,471,1,The,Rite
463,475,1,Le,Septième sceau
464,475,1,The,Seventh Seal
465,476,1,La,Honte
466,476,1,The,Shame
467,476,1,,Shame
468,477,1,L',Éternel mirage
469,477,1,,Bateau pour les Indes
470,477,1,Le,Port des filles perdues
471,477,1,A,Ship to India
472,477,1,,Skep Till Indialand
473,477,1,The,Land of Desire
474,477,1,,Frustration
475,478,1,Les,Fraises sauvages
476,478,1,,Wild Strawberries
477,479,1,,Un été avec Monika
478,479,1,,Monika et le désir
479,479,1,,Summer with Monika
480,479,1,,Monika
481,481,1,,Sourires d'une nuit d'été
482,481,1,,Smiles of a Summer Night
483,481,1,,Letni sen
484,483,1,,Vers la joie
485,483,1,,Vers la félicité
486,483,1,,Towars Joy
487,483,1,,To Joy
488,484,1,La,Soif
489,484,1,La,Fontaine d'Aréthuse
490,484,1,,Thirst
491,484,1,,Three Strange Loves
492,485,1,,El Toque
493,485,1,,Il Contatto
494,485,1,Le,Lien
495,485,1,,Beröringen
496,485,1,Le,Contact
497,486,1,Die,Zauber Flöte
498,486,1,Die,Zauberflöte
499,486,1,La,Flûte enchantée
500,486,1,The,Magic Flute
501,487,1,Les,Mercenaires de Rio Grande
502,489,1,Le,Silence
503,489,1,The,Silence
504,490,1,,Second Breath
505,492,1,L',Heure du loup
506,492,1,,Hour of the Wolf
507,493,1,,Sussurri e grida
508,493,1,,Whispering and Cries
509,493,1,,Gill
510,493,1,,Gritos y murmullos
511,493,1,,Whispers and Cries
512,493,1,,Cris et chuchotements
513,493,1,,Cries and Whispers
514,495,1,,Idaho
524,506,1,Les,Ailes du désir
525,506,1,The,Sky over Berlin
526,506,1,,Wings of Desire
527,507,1,,Lettre d'amour en Somalie
528,508,1,The,Swindle
529,508,1,L',Arnaque
530,508,1,The,Swindlers
531,509,1,,Voyageur malgré lui
533,511,1,,Barberousse
534,511,1,,Red Beard
538,513,1,Der,Kirgise Uzala
539,513,1,,Dersou Ouzala
540,513,1,L',Aigle de la taïga
541,514,1,,Dodesukaden
542,514,1,,Dodes'caden
543,514,1,,Dodes'kaden
544,514,1,,Dodes kaden
545,514,1,,Dodeskaden
546,515,1,The,Lower Depths
547,515,1,Les,Bas-fonds
549,517,1,,To Live
550,517,1,,Doomed
551,517,1,,Vivre
552,518,1,,Most Beautifully
553,518,1,Le,Plus beau
554,518,1,The,Most Beautiful
555,519,1,,Ikimono no koroku
556,519,1,,Chronique d'un être vivant
557,519,1,,Vivre dans la peur
558,519,1,,Si les oiseaux savaient
559,519,1,,I Live in Fear
560,519,1,,Record of a Living Being
561,519,1,,What the Birds Knew
562,521,1,L',Inspiratrice
563,522,1,Le,Voyage du capitaine Fracasse
564,522,1,,Captain Fracassa's Journey
565,526,1,,"Kagemusha, l'ombre du guerrier"
566,526,1,L',Ombre du guerrier
567,527,1,,Kakushi toride no sanakunin
568,527,1,La,Forteresse cachée
569,527,1,The,Hidden Fortress
570,528,1,Il,Castello ragnatela
571,528,1,,Kumonosujo
572,528,1,Le,Château de l'araignée
573,528,1,Le,Trône sanglant
574,528,1,Le,Trône de sang
575,528,1,,Macbeth
576,528,1,The,Cobweb Castle
577,528,1,The,Throne of Blood
578,529,1,,Chien enragé
579,529,1,,Stray Dog
580,529,1,,Norainu
581,531,1,The,Outrage
582,532,1,,Sanjuro
588,534,1,Le,Duel silencieux
589,534,1,The,Quiet Duel
590,535,1,,Scandal
591,535,1,,Scandale
592,536,1,,One Wonderful Sunday
593,536,1,,Wonderful Sunday
594,536,1,,Un merveilleux dimanche
595,537,1,,Sanshiro sugata
596,537,1,La,Légende du grand Judo
597,537,1,,Judo saga
598,538,1,La,Nouvelle légende du grand Judo
599,538,1,,Sanshiro sugata II
600,539,1,,Heaven and Hell
601,539,1,The,Ransom
602,539,1,,Entre le ciel et l'enfer
603,539,1,,High and Low
612,542,1,The,Bad Sleep Well
613,542,1,The,Worse you are the Better you Sleep
614,542,1,,Warui yatsu hodo nemuru
615,542,1,The,Rose in the Mud
616,542,1,Les,Salauds dorment en paix
617,543,1,L',Ange ivre
618,543,1,,Drunken Angel
619,544,1,The,Bodyguard
620,544,1,Le,Garde du corps
622,548,1,,Achteinhalb
623,548,1,,Eight and One Half
624,548,1,,Fellini 8 1/2
625,548,1,,Otto e mezzo
626,548,1,,Huit et demi
627,549,1,The,Mischief Makers
630,553,1,,Juliette des esprits
631,553,1,,Juliet of the Spirits
632,556,1,La,Dernière tentation du Christ
633,558,1,Les,Cols bleus
634,559,1,La,Prise du pouvoir par Louis XIV
635,559,1,The,Rise of Louis XIV
636,559,1,,Tomada do Porer por Luis XIV
639,562,1,,"Allemagne, mère blafarde"
640,562,1,,"Germany, Pale Mother"
642,564,1,Le,Facteur subjectif
643,564,1,The,Subjective Factor
644,567,1,,Autant en emporte le vent
645,568,1,The,Alley Cat
650,572,1,,Orange mécanique
651,572,1,,Uhrwerk Orange
652,574,1,,Double vue
653,575,1,La,Côte d'Adam
654,575,1,,Adam's Rib
655,579,1,Le,Sous-sol de la peur
656,580,1,L',Année de plomb
657,580,1,,Une année de violences
658,582,1,,"Hier, aujourd'hui et pour toujours..."
660,585,1,Le,Petit homme
661,586,1,,Amelia Lopez O'Neill
662,587,1,,Cher inconnu
663,589,1,Le,Dernier samaritain
664,590,1,,Ombres et brouillard
665,593,1,,Dinosaures
666,598,1,La,Prisonnière du désert
667,599,1,Les,Deux cavaliers
670,603,1,,Un printemps sous la neige
671,603,1,Le,Printemps sous la neige
672,604,1,Le,Vent de la plaine
679,606,1,,Einer Flog über das Kuckucksnest
680,606,1,,Vol au-dessus du nid
681,606,1,,Vol au-dessus d'un nid de coucou
682,607,1,La,Naissance d'une nation
683,608,1,,Contempt
684,609,1,La,Flibustière des Antilles
685,610,1,La,Féline
686,616,1,,Demon
687,616,1,,Meurtres sous contrôle
688,620,1,,Alice n'est plus ici
689,620,1,,Alice Lebt Hier Nicht Mehr
690,622,1,,Bertha boxcar
691,622,1,Die,Faust der Rebellen
692,624,1,La,Couleur de l'argent
693,625,1,,Italian American
694,627,1,La,Valse des pantins
695,627,1,Le,Roi des comiques
696,628,1,La,Dernière valse
697,629,1,Les,Rues chaudes
698,629,1,,Hexenkessel
699,632,1,,I Call First
700,636,1,The,Undeclared War
701,637,1,,Autour du désir
702,639,1,,"Ace Ventura, détective pour chiens et chats"
703,642,1,,Oliver et Olivia
704,644,1,La,"Montre, la croix et la manière"
705,648,1,Le,Festin nu
708,655,1,,Under the Roofs of Paris
709,659,1,The,Human Beast
711,661,1,,Beauty and the Beast
715,665,1,,Breathless
716,666,1,,My Night at Maud
717,666,1,,My Night at Maud's
718,666,1,,Mi noche con Maud
720,669,1,,Full Moon in Paris
721,670,1,,Vagabond
722,670,1,,Vagabonde
723,671,1,,Diary of a Country Priest
724,672,1,The,Suspended Vacation
728,674,1,,Femme ou maîtresse
729,675,1,Le,Goût du riz au thé vert
730,675,1,The,Flavor of Green Tea over Rice
731,676,1,,"Doulos, the Finger Man"
732,679,1,,Branches of the Tree
733,679,1,Les,Branches de l'arbre
734,679,1,,Family Reunion
735,679,1,,Shakha prosakha
736,679,1,,Shakha pro shakha
737,679,1,,Shaka proshaka
738,680,1,,Jamais sans ma fille
739,681,1,,Los Angeles Story
740,701,1,La,Poursuite infernale
741,701,1,,Ma Clémentine chérie
742,702,1,La,Vallée de la peur
744,708,1,Le,Massacre de Fort Apache
745,709,1,La,Cité de la peur
746,711,1,Le,Narcisse noir
747,717,1,,Ciel rouge
748,718,1,La,Fille du désert
749,719,1,Le,Démon de l'or
753,721,1,La,Porte du diable
754,723,1,,Goodbye Children
756,725,1,Le,Dernier empereur
757,725,1,L',Ultimo imperatore
758,728,1,,Roger Rabbit
759,728,1,,Qui veut la peau de Roger Rabbit?
760,729,1,La,Révolte des dieux rouges
761,730,1,,Plus fort que la loi
762,731,1,La,Mission du Commandant Lex
763,732,1,L',Homme de la plaine
764,733,1,L',Homme traqué
765,734,1,L',Homme de l'Arizona
768,736,1,,Coups de feu dans la sierra
769,736,1,,Guns in the Afternoon
770,737,1,,Will Penny le solitaire
771,738,1,La,Horde sauvage
772,739,1,,Fureur apache
773,739,1,,"Ulzana, fléau apache"
774,740,1,,"Josey Wales, hors-la-loi"
775,740,1,Der,Texaner
776,741,1,Le,Dernier des géants
777,742,1,,En liberté dans les champs du seigneur
778,746,1,,Une lueur dans la nuit
779,747,1,Le,Docteur
780,748,1,La,Fête et les invités
781,750,1,,Femme ou démon
783,752,1,L',Homme qui tua Liberty Valance
784,755,1,La,Griffe sanglante
786,767,1,La,Maison de la peur
787,771,1,La,Femme en vert
788,773,1,,Mission au soleil
789,774,1,La,Maison de dracula
790,776,1,Le,Train de la mort
793,783,1,,Souvenirs d'Afrique
794,784,1,,Spéciale première
795,784,1,,Extrablatt
797,787,1,La,Nuit des masques
798,790,1,,Démocraties
799,791,1,Le,Chef de gare
800,792,1,Le,Prince des marées
806,796,1,Le,Cercle des intimes
