FilmoGenresCategoriesID,filmoId,sujetId
252,3710,12629
254,11392,12629
256,12195,12629
258,5322,12629
259,4330,12629
260,4331,12629
261,1318,12629
262,22139,12629
263,12162,12629
264,19617,12629
266,17040,12629
267,684,12629
268,12171,12629
269,14147,12629
270,729,12629
271,705,12629
272,687,12629
273,5776,12629
274,6940,12629
275,12185,12629
276,8660,12629
277,741,12629
278,8264,12629
279,6782,12629
280,6532,12629
281,6453,12629
282,327,12629
283,31743,12629
286,7180,12629
289,31774,12629
291,5673,12629
292,9993,12629
293,10130,12629
294,11465,12629
295,709,12629
297,4567,12629
298,12260,12629
300,6440,12629
301,10156,12629
302,12197,12629
303,406,12629
304,12173,12629
305,694,12629
307,6451,12629
308,686,12629
310,692,12629
311,6479,12629
312,12196,12629
314,599,12629
315,1356,12629
317,17617,12629
318,6448,12629
320,6472,12629
321,6335,12629
322,6336,12629
323,2322,12629
324,12143,12629
325,6455,12629
326,12176,12629
327,1319,12629
328,12175,12629
330,6202,12629
331,737,12629
333,34342,12629
334,34341,12629
335,12246,12629
336,22411,12629
338,24053,12629
339,22424,12629
340,23818,12629
341,34491,12629
343,60185,4212
344,60186,4212
345,60188,4212
346,60191,4434
347,60191,3985
348,60199,3656
349,60200,3656
350,60201,3656
353,60184,4434
354,33565,12629
355,14770,12629
357,22482,12629
358,28275,12629
360,27068,12629
362,27071,12629
363,32681,12629
365,27080,12629
367,27083,12629
368,16828,12629
369,26804,12629
370,26805,12629
371,12262,12629
373,21782,12629
375,31247,12629
376,31248,12629
377,10165,12629
378,26864,12629
381,34644,9756
382,45761,9756
384,45790,9756
385,34930,3656
386,56060,2945
387,56054,2945
388,4815,4056
390,60229,4056
391,8570,11794
392,8576,1294
393,8567,998
394,80,11083
395,56069,3274
396,12395,2945
397,56064,3656
398,19673,10507
399,1573,5538
401,56062,10007
402,9082,3656
404,60235,10152
405,23318,2945
406,56898,2945
407,24744,2945
408,56173,3656
409,4115,3656
410,1850,2945
411,56172,3274
412,60254,4056
413,48370,2945
414,54466,3656
415,60258,4302
416,60259,4302
417,1888,3656
418,3926,1592
419,52058,2945
420,50900,2945
421,60269,3656
422,45432,3656
425,60274,10507
428,47986,12329
431,60277,3656
432,60277,9077
434,6698,1294
435,12436,3656
438,56245,2945
440,19951,10507
441,10036,4302
445,60299,4056
446,60301,10507
448,58451,4056
449,8326,3656
450,18312,3656
451,51758,1294
453,58230,4073
454,58226,1294
455,3353,2945
456,58423,4056
457,60322,2945
458,60326,10152
460,57251,2945
461,60333,3656
462,60336,3656
463,60134,2945
464,60339,10507
465,60340,10507
466,60340,1294
467,60340,11794
471,17596,4056
472,60343,4056
473,60343,2945
474,56072,4056
475,56072,3307
476,56072,11794
477,60345,10507
478,60345,11794
479,60346,10507
480,60346,11794
481,60347,4056
482,60349,2948
483,60349,10507
486,31685,12629
487,60355,2945
488,43230,3307
489,60359,3307
490,60360,3307
491,23195,3307
492,60361,3656
493,58822,3656
494,54606,3656
495,17807,3656
496,23861,3656
497,60386,1294
498,1544,3656
499,1544,11083
500,60389,8851
501,17679,12629
503,59348,12629
505,12138,12629
507,60397,12629
508,31640,12629
509,60400,12629
510,60403,12629
512,60404,12629
513,60405,12629
515,25118,12629
516,60407,12629
517,33149,12629
518,5348,12629
519,5662,2948
520,60408,2948
521,17397,2948
523,60409,12629
524,60410,12629
525,21756,12629
526,16877,12629
527,32073,12629
528,21602,12629
529,22272,12629
530,17391,12629
531,16392,12629
532,22386,12629
533,16686,12629
535,60417,12629
536,60418,12629
537,16880,12629
538,60419,12629
539,17265,12629
540,60421,12629
541,60428,12629
542,60429,12629
543,30162,12629
544,26803,12629
545,60430,12629
546,60431,12629
547,6443,12629
549,60433,12629
550,33376,12629
551,31166,12629
552,60434,12629
553,60435,12629
554,60436,12629
555,60437,12629
556,60438,12629
557,60440,12629
558,27162,12629
559,60441,2945
560,60441,12629
561,60442,11794
562,26817,12629
563,60444,12629
564,60445,12629
565,60446,12629
567,10224,12629
568,13259,12629
569,31950,12629
570,60458,12629
571,60461,12629
572,60462,12629
573,60464,12629
574,60465,12629
575,60466,12629
576,32901,12629
577,31459,12629
578,25281,12629
582,49797,3656
583,60469,12629
584,60470,12629
586,60471,12629
587,60472,12629
588,60473,12629
590,60475,12629
591,60476,12629
592,60477,12629
593,27073,12629
594,27070,12629
595,60478,12629
596,33050,12629
597,60479,12629
598,33374,12629
599,60480,12629
600,31094,12629
601,60481,12629
602,60483,12629
603,60432,3985
605,60490,2945
606,60493,5538
607,60496,2945
608,57072,10507
610,2592,2945
611,58261,11794
612,47544,10196
613,60536,3656
614,49614,3656
615,58268,2945
616,60538,3656
617,52631,4434
618,52631,4299
619,52631,2945
620,56180,3656
622,56327,2945
623,54878,3656
626,60551,3656
629,50986,10506
630,50986,13520
631,60566,2945
632,60572,3656
633,10860,3656
634,47339,3656
635,60591,9704
636,60596,5538
637,23725,4434
638,60608,3656
643,33493,4434
644,55784,3657
645,60614,12629
646,60615,9065
647,60617,9065
648,21514,9065
649,17442,9065
650,1135,9065
654,60616,9065
659,15872,2945
660,15872,4434
663,11189,4434
664,11189,2945
665,57931,10506
